"sessionid","computerid","mnr","answer"
"HJSCV",4,1,3
"HJSCV",4,2,2
"HJSCV",4,3,1
"HJSCV",4,4,5
"HJSCV",4,5,4
"HJSCV",4,6,3
"HJSCV",4,7,5
"HJSCV",4,8,1
"HJSCV",4,9,4
"HJSCV",4,10,1
"HJSCV",4,11,5
"HJSCV",4,12,1
"HJSCV",4,13,2
"HJSCV",4,14,3
"HJSCV",4,15,5
"HJSCV",4,16,3
"HJSCV",4,17,
"HJSCV",4,18,
"HJSCV",4,19,4
"HJSCV",4,20,2
"GYOVF",28,1,3
"GYOVF",28,2,2
"GYOVF",28,3,1
"GYOVF",28,4,5
"GYOVF",28,5,4
"GYOVF",28,6,3
"GYOVF",28,7,3
"GYOVF",28,8,3
"GYOVF",28,9,4
"GYOVF",28,10,3
"GYOVF",28,11,3
"GYOVF",28,12,3
"GYOVF",28,13,3
"GYOVF",28,14,4
"GYOVF",28,15,1
"GYOVF",28,16,4
"GYOVF",28,17,1
"GYOVF",28,18,2
"GYOVF",28,19,4
"GYOVF",28,20,3
"GYOVF",28,21,1
"GYOVF",28,22,5
"GYOVF",28,23,5
"GYOVF",28,24,2
"GYOVF",28,25,5
"GYOVF",28,26,3
"GYOVF",29,1,3
"GYOVF",29,2,2
"GYOVF",29,3,1
"GYOVF",29,4,5
"GYOVF",29,5,4
"GYOVF",29,6,3
"GYOVF",29,7,5
"GYOVF",29,8,1
"GYOVF",29,9,4
"GYOVF",29,10,1
"GYOVF",29,11,5
"GYOVF",29,12,1
"GYOVF",29,13,2
"GYOVF",29,14,5
"GYOVF",29,15,5
"GYOVF",29,16,3
"GYOVF",29,17,2
"GYOVF",29,18,1
"GYOVF",29,19,4
"GYOVF",29,20,5
"GYOVF",29,21,5
"GYOVF",29,22,
"GYOVF",29,23,5
"GYOVF",29,24,3
"GYOVF",29,25,2
"GYOVF",29,26,
"GYOVF",30,1,3
"GYOVF",30,2,2
"GYOVF",30,3,1
"GYOVF",30,4,5
"GYOVF",30,5,4
"GYOVF",30,6,3
"GYOVF",30,7,5
"GYOVF",30,8,1
"GYOVF",30,9,4
"GYOVF",30,10,1
"GYOVF",30,11,5
"GYOVF",30,12,1
"GYOVF",30,13,2
"GYOVF",30,14,3
"GYOVF",30,15,5
"GYOVF",30,16,3
"GYOVF",30,17,3
"GYOVF",30,18,
"GYOVF",30,19,3
"GYOVF",30,20,2
"GYOVF",30,21,5
"GYOVF",30,22,5
"GYOVF",30,23,3
"GYOVF",30,24,2
"GYOVF",30,25,
"GYOVF",30,26,
"GYOVF",4,1,3
"GYOVF",4,2,2
"GYOVF",4,3,1
"GYOVF",4,4,5
"GYOVF",4,5,4
"GYOVF",4,6,3
"GYOVF",4,7,5
"GYOVF",4,8,1
"GYOVF",4,9,4
"GYOVF",4,10,1
"GYOVF",4,11,5
"GYOVF",4,12,1
"GYOVF",4,13,2
"GYOVF",4,14,3
"GYOVF",4,15,5
"GYOVF",4,16,4
"GYOVF",4,17,2
"GYOVF",4,18,
"GYOVF",4,19,
"GYOVF",4,20,
"GYOVF",4,21,
"GYOVF",4,22,
"GYOVF",4,23,
"GYOVF",4,24,
"GYOVF",4,25,
"GYOVF",4,26,
"GYOVF",5,1,3
"GYOVF",5,2,2
"GYOVF",5,3,1
"GYOVF",5,4,5
"GYOVF",5,5,4
"GYOVF",5,6,3
"GYOVF",5,7,4
"GYOVF",5,8,1
"GYOVF",5,9,3
"GYOVF",5,10,1
"GYOVF",5,11,4
"GYOVF",5,12,1
"GYOVF",5,13,4
"GYOVF",5,14,1
"GYOVF",5,15,3
"GYOVF",5,16,5
"GYOVF",5,17,5
"GYOVF",5,18,
"GYOVF",5,19,1
"GYOVF",5,20,5
"GYOVF",5,21,2
"GYOVF",5,22,3
"GYOVF",5,23,4
"GYOVF",5,24,4
"GYOVF",5,25,5
"GYOVF",5,26,1
"GYOVF",6,1,3
"GYOVF",6,2,2
"GYOVF",6,3,1
"GYOVF",6,4,5
"GYOVF",6,5,4
"GYOVF",6,6,3
"GYOVF",6,7,5
"GYOVF",6,8,1
"GYOVF",6,9,4
"GYOVF",6,10,1
"GYOVF",6,11,5
"GYOVF",6,12,1
"GYOVF",6,13,2
"GYOVF",6,14,4
"GYOVF",6,15,3
"GYOVF",6,16,3
"GYOVF",6,17,5
"GYOVF",6,18,1
