"sessionid";"computerid";"gambling";"mother2school";"father2school";"motheruni";"fatheruni";"workincome";"worktype";"withonemillion";"withonemillion2";"withonemillionspecify";"jobopp_govm";"jobopp_ownb";"jobopp_farm";"happy";"ypleased";"yworried";"yhappy";"sex";"program";"age"
"HJSCV";4;1;"N";"Y";"N";"N";"N";;3;;;3;3;3;5;"N";"N";"N";"Male";"Bachelor";24
"AFKYR";1;1;"N";"N";"N";"N";"N";;3;;;2;2;3;;"Y";"N";"Y";"Male";"Bachelor";23
"AFKYR";2;5;"N";"N";"N";"N";"N";;3;;;3;1;1;0;"Y";"N";"Y";"Male";"Bachelor";21
"AFKYR";3;1;"N";"N";"N";"N";"N";;4;;"If I had 1 million sh I could have established a NGO which will help other youth to find their own life instead of depending from other donors.";1;3;2;10;"N";"N";"Y";"Male";"Bachelor";25
"AFKYR";4;1;"N";"N";"N";"N";"N";;3;;;1;3;3;3;"Y";"N";"Y";"Male";"Bachelor";23
"HJSCV";5;1;"N";"N";"N";"N";"N";;3;4;"Start a business";2;3;2;8;"N";"N";"N";"Female";"Bachelor";22
"AFKYR";6;3;"N";"Y";"N";"Y";"N";;2;;;1;3;2;8;"N";"Y";"N";"Male";"Bachelor";22
"AFKYR";7;1;"N";"Y";"N";"N";"N";;3;;;2;3;2;5;"Y";"N";"Y";"Male";"Bachelor";24
"AFKYR";8;3;"N";"N";"N";"N";"Y";"Keeping chicken meat";2;;;1;3;2;10;"N";"N";"Y";"Male";"Bachelor";23
"AFKYR";9;1;"N";"N";"N";"N";"N";;3;;;2;3;3;7;"N";"N";"Y";"Male";"Bachelor";23
"AFKYR";10;1;"Y";"Y";"N";"Y";"N";;3;;;2;3;1;10;"Y";"N";"Y";"Female";"Bachelor";23
"AFKYR";11;5;"N";"N";"N";"N";"N";;2;;;2;3;1;10;"Y";"N";"Y";"Male";"Bachelor";23
"AFKYR";12;5;"Y";"Y";"Y";"Y";"N";;2;;;3;3;2;10;"Y";"Y";"Y";"Female";"Bachelor";23
"AFKYR";13;1;"N";"Y";"N";"N";"N";;3;4;"Start a small business entreprise";3;3;2;7;"N";"N";"Y";"Male";"Bachelor";25
