ID,question,item,answer
101,BO1,bo1,no
101,BO1,bo2,no
101,BO1,bo3,no
101,BO1,bo4,no
101,BO1,bo5,no
101,BO1,bo6,no
101,BO1,bo7,2
101,BO1,bo8,
101,BO2,bo20,3
101,BO2,bo21,2
101,BO2,bo22,3
101,BO2,bo23,2
101,BO2,bo24,6
101,BO2,bo25,no
101,BO2,bo26,no
101,BO2,bo27,no
101,BFS1,bf1,1
101,BFS1,bf2,1
101,BFS1,bf3,1
101,BFS1,bf4,3
101,BFS1,bf5,5
101,BFS1,bf6,4
101,BFS1,bf7,5
101,BFS1,bf8,1
101,BFS1,bf9,4
101,BFS1,bf10,3
101,BFS1,bf11,5
101,BFS3,bf23,1
101,BFS3,bf24,5
101,BFS3,bf25,5
101,BFS3,bf26,5
101,BFS3,bf27,1
101,BFS3,bf28,5
101,BFS3,bf29,4
101,BFS3,bf30,4
101,BFS3,bf31,1
101,BFS3,bf32,5
101,BFS3,bf33,5
101,BFS2,bf12,1
101,BFS2,bf13,5
101,BFS2,bf14,4
101,BFS2,bf15,4
101,BFS2,bf16,3
101,BFS2,bf17,5
101,BFS2,bf18,1
101,BFS2,bf19,1
101,BFS2,bf20,4
101,BFS2,bf21,1
101,BFS2,bf22,5
101,BFS4,bf34,5
101,BFS4,bf35,5
101,BFS4,bf36,5
101,BFS4,bf37,1
101,BFS4,bf38,5
101,BFS4,bf39,4
101,BFS4,bf40,5
101,BFS4,bf41,4
101,BFS4,bf42,5
101,BFS4,bf43,5
101,BFS4,bf44,4
101,BFS4,o1,2
102,BO1,bo1,no
102,BO1,bo2,yes
102,BO1,bo3,no
102,BO1,bo4,yes
102,BO1,bo5,no
102,BO1,bo6,
102,BO1,bo7,3
102,BO1,bo8,
102,BO2,bo20,2
102,BO2,bo21,3
102,BO2,bo22,2
102,BO2,bo23,2
102,BO2,bo24,5
102,BO2,bo25,no
102,BO2,bo26,no
102,BO2,bo27,no
102,BFS1,bf1,1
102,BFS1,bf2,3
102,BFS1,bf3,5
102,BFS1,bf4,1
102,BFS1,bf5,5
102,BFS1,bf6,4
102,BFS1,bf7,5
102,BFS1,bf8,1
102,BFS1,bf9,1
102,BFS1,bf10,5
102,BFS1,bf11,3
102,BFS3,bf23,1
102,BFS3,bf24,1
102,BFS3,bf25,5
102,BFS3,bf26,5
102,BFS3,bf27,3
102,BFS3,bf28,5
102,BFS3,bf29,4
102,BFS3,bf30,5
102,BFS3,bf31,1
102,BFS3,bf32,5
102,BFS3,bf33,5
102,BFS2,bf12,1
102,BFS2,bf13,5
102,BFS2,bf14,5
102,BFS2,bf15,5
102,BFS2,bf16,3
102,BFS2,bf17,5
102,BFS2,bf18,1
102,BFS2,bf19,1
102,BFS2,bf20,5
102,BFS2,bf21,4
102,BFS2,bf22,2
102,BFS4,bf34,4
102,BFS4,bf35,5
102,BFS4,bf36,5
102,BFS4,bf37,1
102,BFS4,bf38,5
102,BFS4,bf39,2
102,BFS4,bf40,5
102,BFS4,bf41,2
102,BFS4,bf42,5
102,BFS4,bf43,1
102,BFS4,bf44,1
102,BFS4,o1,3
103,BO1,bo1,no
103,BO1,bo2,no
103,BO1,bo3,no
103,BO1,bo4,no
103,BO1,bo5,no
103,BO1,bo6,
103,BO1,bo7,2
103,BO1,bo8,
103,BO2,bo20,1
103,BO2,bo21,2
103,BO2,bo22,3
103,BO2,bo23,2
103,BO2,bo24,4
103,BO2,bo25,yes
103,BO2,bo26,no
103,BO2,bo27,yes
103,BFS1,bf1,2
103,BFS1,bf2,1
103,BFS1,bf3,4
103,BFS1,bf4,3
103,BFS1,bf5,5
103,BFS1,bf6,5
103,BFS1,bf7,5
103,BFS1,bf8,1
103,BFS1,bf9,3
103,BFS1,bf10,5
103,BFS1,bf11,5
103,BFS3,bf23,1
103,BFS3,bf24,4
103,BFS3,bf25,4
103,BFS3,bf26,1
103,BFS3,bf27,3
103,BFS3,bf28,5
103,BFS3,bf29,2
103,BFS3,bf30,2
103,BFS3,bf31,4
103,BFS3,bf32,4
103,BFS3,bf33,4
103,BFS2,bf12,1
103,BFS2,bf13,5
103,BFS2,bf14,4
103,BFS2,bf15,4
103,BFS2,bf16,1
103,BFS2,bf17,5
103,BFS2,bf18,1
103,BFS2,bf19,2
103,BFS2,bf20,4
103,BFS2,bf21,4
103,BFS2,bf22,5
103,BFS4,bf34,1
103,BFS4,bf35,4
103,BFS4,bf36,2
103,BFS4,bf37,1
103,BFS4,bf38,4
103,BFS4,bf39,4
103,BFS4,bf40,4
103,BFS4,bf41,2
103,BFS4,bf42,5
103,BFS4,bf43,1
103,BFS4,bf44,2
103,BFS4,o1,4
104,BO1,bo1,no
104,BO1,bo2,no
104,BO1,bo3,no
104,BO1,bo4,no
104,BO1,bo5,no
104,BO1,bo6,
104,BO1,bo7,3
104,BO1,bo8,
104,BO2,bo20,2
104,BO2,bo21,3
104,BO2,bo22,3
104,BO2,bo23,2
104,BO2,bo24,6
104,BO2,bo25,no
104,BO2,bo26,no
104,BO2,bo27,yes
104,BFS1,bf1,4
104,BFS1,bf2,1
104,BFS1,bf3,5
104,BFS1,bf4,3
104,BFS1,bf5,5
104,BFS1,bf6,3
104,BFS1,bf7,5
104,BFS1,bf8,1
104,BFS1,bf9,4
104,BFS1,bf10,3
104,BFS1,bf11,5
104,BFS3,bf23,1
104,BFS3,bf24,5
104,BFS3,bf25,5
104,BFS3,bf26,5
104,BFS3,bf27,3
104,BFS3,bf28,5
104,BFS3,bf29,5
104,BFS3,bf30,4
104,BFS3,bf31,4
104,BFS3,bf32,5
104,BFS3,bf33,5
104,BFS2,bf12,1
104,BFS2,bf13,5
104,BFS2,bf14,5
104,BFS2,bf15,5
104,BFS2,bf16,4
104,BFS2,bf17,5
104,BFS2,bf18,1
104,BFS2,bf19,4
104,BFS2,bf20,4
104,BFS2,bf21,3
104,BFS2,bf22,4
104,BFS4,bf34,5
104,BFS4,bf35,5
104,BFS4,bf36,5
104,BFS4,bf37,1
104,BFS4,bf38,5
104,BFS4,bf39,1
104,BFS4,bf40,5
104,BFS4,bf41,4
104,BFS4,bf42,5
104,BFS4,bf43,3
104,BFS4,bf44,4
104,BFS4,o1,3
105,BO1,bo1,no
105,BO1,bo2,yes
105,BO1,bo3,no
105,BO1,bo4,no
105,BO1,bo5,no
105,BO1,bo6,
105,BO1,bo7,2
105,BO1,bo8,
105,BO2,bo20,2
105,BO2,bo21,3
105,BO2,bo22,1
105,BO2,bo23,2
105,BO2,bo24,10
105,BO2,bo25,yes
105,BO2,bo26,no
105,BO2,bo27,yes
105,BFS1,bf1,4
105,BFS1,bf2,1
105,BFS1,bf3,5
105,BFS1,bf4,3
105,BFS1,bf5,4
105,BFS1,bf6,3
105,BFS1,bf7,1
105,BFS1,bf8,2
105,BFS1,bf9,2
105,BFS1,bf10,3
105,BFS1,bf11,4
105,BFS3,bf23,1
105,BFS3,bf24,4
105,BFS3,bf25,4
105,BFS3,bf26,4
105,BFS3,bf27,2
105,BFS3,bf28,5
105,BFS3,bf29,5
105,BFS3,bf30,4
105,BFS3,bf31,3
105,BFS3,bf32,4
105,BFS3,bf33,5
105,BFS2,bf12,1
105,BFS2,bf13,5
105,BFS2,bf14,4
105,BFS2,bf15,3
105,BFS2,bf16,3
105,BFS2,bf17,5
105,BFS2,bf18,1
105,BFS2,bf19,2
105,BFS2,bf20,3
105,BFS2,bf21,1
105,BFS2,bf22,4
105,BFS4,bf34,4
105,BFS4,bf35,5
105,BFS4,bf36,5
105,BFS4,bf37,4
105,BFS4,bf38,5
105,BFS4,bf39,1
105,BFS4,bf40,5
105,BFS4,bf41,1
105,BFS4,bf42,5
105,BFS4,bf43,1
105,BFS4,bf44,5
105,BFS4,o1,1
106,BO1,bo1,no
106,BO1,bo2,no
106,BO1,bo3,no
106,BO1,bo4,no
106,BO1,bo5,no
106,BO1,bo6,
106,BO1,bo7,3
106,BO1,bo8,
106,BO2,bo20,3
106,BO2,bo21,1
106,BO2,bo22,1
106,BO2,bo23,2
106,BO2,bo24,5
106,BO2,bo25,yes
106,BO2,bo26,no
106,BO2,bo27,no
106,BFS1,bf1,2
106,BFS1,bf2,2
106,BFS1,bf3,4
106,BFS1,bf4,4
106,BFS1,bf5,5
106,BFS1,bf6,2
106,BFS1,bf7,4
106,BFS1,bf8,4
106,BFS1,bf9,5
106,BFS1,bf10,4
106,BFS1,bf11,5
106,BFS3,bf23,1
106,BFS3,bf24,4
106,BFS3,bf25,4
106,BFS3,bf26,3
106,BFS3,bf27,3
106,BFS3,bf28,4
106,BFS3,bf29,4
106,BFS3,bf30,4
106,BFS3,bf31,3
106,BFS3,bf32,5
106,BFS3,bf33,5
106,BFS2,bf12,1
106,BFS2,bf13,5
106,BFS2,bf14,4
106,BFS2,bf15,4
106,BFS2,bf16,5
106,BFS2,bf17,5
106,BFS2,bf18,3
106,BFS2,bf19,4
106,BFS2,bf20,5
106,BFS2,bf21,4
106,BFS2,bf22,4
106,BFS4,bf34,5
106,BFS4,bf35,4
106,BFS4,bf36,5
106,BFS4,bf37,3
106,BFS4,bf38,4
106,BFS4,bf39,1
106,BFS4,bf40,4
106,BFS4,bf41,2
106,BFS4,bf42,4
106,BFS4,bf43,2
106,BFS4,bf44,3
106,BFS4,o1,2
107,BO1,bo1,yes
107,BO1,bo2,yes
107,BO1,bo3,no
107,BO1,bo4,yes
107,BO1,bo5,no
107,BO1,bo6,
107,BO1,bo7,4
107,BO1,bo1,yes
107,BO1,bo2,yes
107,BO1,bo3,no
107,BO1,bo4,yes
107,BO1,bo5,no
107,BO1,bo6,
107,BO1,bo7,2
107,BO1,bo8,
107,BO2,bo20,2
107,BO2,bo21,3
107,BO2,bo22,2
107,BO2,bo23,2
107,BO2,bo24,10
107,BO2,bo25,yes
107,BO2,bo26,no
107,BO2,bo27,yes
107,BFS1,bf1,4
107,BFS1,bf2,1
107,BFS1,bf3,3
107,BFS1,bf4,1
107,BFS1,bf5,5
107,BFS1,bf6,3
107,BFS1,bf7,5
107,BFS1,bf8,2
107,BFS1,bf9,4
107,BFS1,bf10,5
107,BFS1,bf11,5
107,BFS3,bf23,1
107,BFS3,bf24,5
107,BFS3,bf25,5
107,BFS3,bf26,5
107,BFS3,bf27,3
107,BFS3,bf28,2
107,BFS3,bf29,3
107,BFS3,bf30,4
107,BFS3,bf31,2
107,BFS3,bf32,5
107,BFS3,bf33,4
107,BFS2,bf12,1
107,BFS2,bf13,4
107,BFS2,bf14,3
107,BFS2,bf15,5
107,BFS2,bf16,4
107,BFS2,bf17,5
107,BFS2,bf18,2
107,BFS2,bf19,2
107,BFS2,bf20,4
107,BFS2,bf21,3
107,BFS2,bf22,5
107,BFS4,bf34,2
107,BFS4,bf35,4
107,BFS4,bf36,5
107,BFS4,bf37,2
107,BFS4,bf38,4
107,BFS4,bf39,4
107,BFS4,bf40,5
107,BFS4,bf41,2
107,BFS4,bf42,5
107,BFS4,bf43,1
107,BFS4,bf44,4
107,BFS4,o1,1
108,BO1,bo1,no
108,BO1,bo2,no
108,BO1,bo3,no
108,BO1,bo4,no
108,BO1,bo5,no
108,BO1,bo6,
108,BO1,bo7,2
108,BO1,bo8,
108,BO2,bo20,2
108,BO2,bo21,3
108,BO2,bo22,2
108,BO2,bo23,2
108,BO2,bo24,9
108,BO2,bo25,yes
108,BO2,bo26,no
108,BO2,bo27,yes
108,BFS1,bf1,4
108,BFS1,bf2,1
108,BFS1,bf3,4
108,BFS1,bf4,2
108,BFS1,bf5,5
108,BFS1,bf6,5
108,BFS1,bf7,5
108,BFS1,bf8,1
108,BFS1,bf9,5
108,BFS1,bf10,4
108,BFS1,bf11,5
108,BFS3,bf23,1
108,BFS3,bf24,5
108,BFS3,bf25,5
108,BFS3,bf26,4
108,BFS3,bf27,4
108,BFS3,bf28,5
108,BFS3,bf29,4
108,BFS3,bf30,2
108,BFS3,bf31,1
108,BFS3,bf32,5
108,BFS3,bf33,5
108,BFS2,bf12,1
108,BFS2,bf13,4
108,BFS2,bf14,5
108,BFS2,bf15,5
108,BFS2,bf16,4
108,BFS2,bf17,5
108,BFS2,bf18,1
108,BFS2,bf19,1
108,BFS2,bf20,4
108,BFS2,bf21,4
108,BFS2,bf22,5
108,BFS4,bf34,4
108,BFS4,bf35,5
108,BFS4,bf36,1
108,BFS4,bf37,1
108,BFS4,bf38,5
108,BFS4,bf39,4
108,BFS4,bf40,5
108,BFS4,bf41,2
108,BFS4,bf42,5
108,BFS4,bf43,1
108,BFS4,bf44,4
108,BFS4,o1,2
109,BO1,bo1,no
109,BO1,bo2,no
109,BO1,bo3,no
109,BO1,bo4,no
109,BO1,bo5,yes
109,BO1,bo6,loan
109,BO1,bo7,3
109,BO1,bo8,
109,BO2,bo20,2
109,BO2,bo21,3
109,BO2,bo22,3
109,BO2,bo23,2
109,BO2,bo24,0
109,BO2,bo25,yes
109,BO2,bo26,yes
109,BO2,bo27,no
109,BFS1,bf1,5
109,BFS1,bf2,4
109,BFS1,bf3,2
109,BFS1,bf4,1
109,BFS1,bf5,5
109,BFS1,bf6,2
109,BFS1,bf7,5
109,BFS1,bf8,1
109,BFS1,bf9,4
109,BFS1,bf10,5
109,BFS1,bf11,4
109,BFS3,bf23,1
109,BFS3,bf24,2
109,BFS3,bf25,3
109,BFS3,bf26,5
