ID,session,kull,sex,age
101,1,1,1,23
102,1,1,1,24
103,1,1,1,25
104,1,1,1,31
105,1,1,1,23
106,1,1,1,23
107,1,1,1,21
109,1,1,1,25
110,1,1,2,23
111,1,1,1,22
113,1,1,1,22
114,1,1,2,23
115,1,1,2,20
116,1,1,2,22
117,1,1,1,25
118,1,1,1,22
119,1,1,1,24
120,1,1,1,21
121,1,1,1,24
122,1,1,1,26
123,1,1,1,25
124,1,1,1,20
125,1,1,2,26
126,1,1,1,26
127,1,1,2,21
128,1,1,1,30
601,6,1,1,24
602,6,1,2,26
603,6,1,1,32
604,6,1,1,25
605,6,1,2,32
606,6,1,1,25
607,6,1,1,23
608,6,1,1,22
609,6,1,2,23
610,6,1,1,21
611,6,1,1,26
612,6,1,1,23
613,6,1,1,23
614,6,1,1,22
615,6,1,1,21
616,6,1,2,23
617,6,1,1,26
618,6,1,2,21
619,6,1,2,24
620,6,1,1,24
621,6,1,1,23
622,6,1,2,22
623,6,1,1,25
624,6,1,1,29
625,6,1,1,23
626,6,1,1,28
627,6,1,1,25
628,6,1,1,24
629,6,1,2,21
630,6,1,1,22
301,3,1,2,21
302,3,1,2,22
303,3,1,2,25
304,3,1,2,22
305,3,1,2,23
306,3,1,1,24
307,3,1,2,24
308,3,1,2,22
309,3,1,2,23
310,3,1,1,25
311,3,1,2,23
312,3,1,2,19
313,3,1,1,22
314,3,1,1,23
315,3,1,2,22
316,3,1,1,21
317,3,1,2,22
318,3,1,2,22
320,3,1,1,25
322,3,1,2,25
323,3,1,1,27
324,3,1,1,24
326,3,1,1,23
327,3,1,2,23
328,3,1,1,26
201,2,1,1,22
202,2,1,2,20
203,2,1,1,23
204,2,1,1,25
205,2,1,1,23
206,2,1,1,24
207,2,1,1,23
208,2,1,1,22
209,2,1,1,25
210,2,1,1,25
211,2,1,2,21
212,2,1,1,23
213,2,1,1,22
214,2,1,1,21
215,2,1,2,21
216,2,1,1,22
217,2,1,1,22
218,2,1,1,25
219,2,1,1,23
220,2,1,1,21
221,2,1,1,22
223,2,1,1,25
224,2,1,1,23
225,2,1,2,22
226,2,1,1,23
227,2,1,1,27
228,2,1,1,22
703,7,1,2,24
705,7,1,1,24
701,7,1,1,21
707,7,1,1,23
706,7,1,1,22
717,7,1,2,22
708,7,1,2,23
727,7,1,1,25
711,7,1,2,21
716,7,1,1,21
726,7,1,2,22
712,7,9,1,23
722,7,1,1,23
709,7,1,2,21
710,7,1,2,20
723,7,1,2,26
724,7,1,2,21
713,7,1,1,27
721,7,1,2,22
714,7,1,1,24
719,7,1,2,22
725,7,1,1,21
715,7,1,1,23
728,7,1,2,20
729,7,1,1,21
718,7,1,2,23
730,7,1,1,24
702,7,1,1,24
720,7,1,2,24
401,4,1,1,21
402,4,1,2,22
403,4,1,2,24
404,4,1,2,23
405,4,1,2,23
406,4,1,2,23
407,4,1,1,21
408,4,1,2,21
409,4,1,1,23
411,4,1,2,22
412,4,1,1,23
415,4,1,1,23
416,4,1,1,21
417,4,1,2,22
418,4,1,1,20
421,4,1,2,21
422,4,1,2,24
423,4,1,1,26
424,4,1,2,25
428,4,1,1,22
430,4,1,1,23
917,9,1,1,18
915,9,1,2,20
916,9,1,2,21
901,9,1,2,19
922,9,1,2,19
934,9,1,2,21
921,9,1,2,18
928,9,2,2,24
912,9,1,2,20
927,9,1,1,18
932,9,1,2,19
908,9,1,2,20
918,9,1,1,20
913,9,1,2,19
911,9,9,2,20
924,9,1,1,21
906,9,1,1,18
919,9,1,2,21
933,9,1,2,19
902,9,1,2,34
929,9,1,2,21
935,9,1,2,19
905,9,1,2,18
907,9,1,2,18
926,9,1,2,19
925,9,1,2,22
931,9,1,1,19
930,9,1,1,19
936,9,1,2,21
923,9,1,2,20
920,9,1,2,21
914,9,1,2,19
1001,10,1,2,19
1002,10,1,2,19
1005,10,1,2,19
1006,10,1,2,20
1007,10,1,2,19
1008,10,1,2,21
1012,10,1,1,20
1013,10,1,1,18
1014,10,1,2,18
1015,10,1,1,19
1017,10,1,2,18
1018,10,1,2,19
1019,10,1,1,21
1020,10,1,2,19
1021,10,1,2,18
1022,10,1,2,22
1023,10,1,2,21
1024,10,1,1,18
1025,10,1,2,22
1026,10,1,2,20
1027,10,1,2,19
1028,10,9,2,18
1029,10,1,2,21
1030,10,1,1,19
1031,10,1,2,19
1032,10,1,2,18
1033,10,1,2,20
1034,10,1,2,21
1035,10,1,2,22
1036,10,1,2,21
1101,11,1,2,21
1102,11,1,2,18
1105,11,1,2,20
1106,11,1,2,21
1107,11,1,1,20
1108,11,1,1,18
1111,11,9,2,51
1112,11,1,2,19
1113,11,1,2,19
1114,11,1,2,21
1115,11,1,1,20
1116,11,1,2,20
1117,11,1,2,18
1118,11,1,1,19
1119,11,1,1,41
1120,11,1,1,18
1121,11,1,2,20
1122,11,2,2,24
1123,11,9,2,32
1124,11,1,2,20
1125,11,1,1,19
1126,11,1,2,19
1127,11,1,1,37
1128,11,1,1,18
1129,11,1,1,19
1130,11,1,1,21
1131,11,1,1,19
1132,11,1,1,20
1133,11,1,2,22
1134,11,1,2,21
1135,11,1,2,20
1136,11,1,2,22
1201,12,1,2,18
1202,12,9,1,26
1205,12,1,1,18
1206,12,1,1,21
1207,12,9,2,18
